NAME,Median Age by Sex,Total Population,White,Black/African American,American Indian/Alaskan,Asian,Hawaiian/Pacific Islander,Some Other Race,Two or More Races,Male,Female,Never Married,Now Married,Widowed,Divorced,"12th Grade, No Diploma",High School Diploma,GED,Some College <1 Year,Some College >1 Year,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate,Median Income,Population Below Poverty Line,Disabled Population,Total Income 10k(%),Total Income 10k-15k(%),Total Income 15k-25k(%),Total Income 25k-35k(%),Total Income 35k-50(%),Total Income 50k-75k(%),Total Income 75k-100k(%),Total Income 100k-150k(%),Total Income 150k-200k(%),Total Income >200k(%),Income Category,Poverty Rate (%),Poverty Rate Classification,Total Degrees,Degree Percentage (%),Degree Attainment,POC Population (%),POC Population Category,White Population (%),Black/African American Population (%),Asian Population (%),Hawaiian/Pacific Islander Population (%),American Indian/Alaskan Population (%),Some Other Race Population (%),Two or More Races Population (%),Disabled Population (%),Disabled Population Category,state,county
"Autauga County, Alabama",39,58761,43747,11496,59,658,0,321,2480,28663,30098,31283,19408,3274,5829,704,10001,2516,2576,5864,3495,6726,4014,702,437,68315,6630,9425,4.4,2.9,10.6,7,12.2,16.4,14.5,17.8,6.8,7.4,Medium,11.282993822433246,Low Poverty,11879,20.215789384115315,Medium Degree Attainment,25.55096067119348,High,74.44903932880652,19.563996528309595,1.1197903371283675,0,0.10040673235649496,0.5462806963802522,4.220486377018771,16.03955004169432,Medium,1,1
"Baldwin County, Alabama",43.7,233420,195998,19445,848,2046,31,4414,10638,114077,119343,123882,76904,12778,22974,3299,38059,8332,11932,24237,16046,33474,15077,3483,2351,71039,23445,31878,4.5,4.2,7,8.1,12.1,16,14.4,17,7.5,9.1,High,10.044126467312141,Low Poverty,54385,23.299203153114558,Medium Degree Attainment,16.01876445891526,Medium,83.96795476,8.330477251306657,0.8765315739868049,0.013280781424042497,0.36329363379316254,1.8910119098620515,4.557450089966584,13.656927426955704,Low,1,3
"Barbour County, Alabama",40.6,24877,11309,11668,74,126,3,1088,609,12973,11904,14573,7202,1499,2907,488,5136,1371,1076,2440,1397,1167,640,188,105,39712,5280,3970,10.2,8.2,16.3,11,13.2,15.4,8.3,10.9,2.8,3.8,Low,21.224424166901155,High Poverty,2100,8.441532339108413,Low Degree Attainment,54.528279133336014,High,45.45966153475097,46.90276158700808,0.5064919403465048,0.012059331913012018,0.29746352052096314,4.373517707119025,2.448044378,15.95851589821924,Medium,1,5
"Bibb County, Alabama",40.3,22251,16872,4603,21,69,0,108,578,11897,10354,12287,6598,1482,2442,729,5261,1249,763,2278,1269,1047,507,109,76,50669,4297,4097,7.6,9.1,10.9,10.5,11.2,17,14.8,12.3,3,3.5,Low,19.311491618354232,Low Poverty,1739,7.815379084086109,Low Degree Attainment,24.174194418228396,High,75.82580558,20.68671070963103,0.31009842254280706,0,0.094377781,0.48537144398004584,2.5976360613006158,18.412655610983776,Medium,1,7
"Blount County, Alabama",40.8,59077,53941,729,227,100,117,1859,2104,29864,29213,30951,18142,3945,5482,1029,11248,3166,3482,4964,4493,3840,1751,270,156,57440,8277,9948,6.7,5.2,8.5,9.7,14.2,16.4,12.9,15.3,6.4,4.9,Medium,14.010528632124178,Low Poverty,6017,10.185012779931277,Low Degree Attainment,8.495692063,Low,91.30626131997224,1.2339827682516038,0.16927061292888942,0.1980466171268006,0.38424429134857896,3.146740694348054,3.5614536960238334,16.83904057416592,Medium,1,9
"Bullock County, Alabama",39.2,10328,2397,7117,0,43,0,568,203,5542,4786,6117,3278,659,790,433,2515,442,361,1036,226,492,93,53,33,36136,2687,1078,12.8,10.3,15.4,9.2,16.2,12.2,8,12.1,1.5,2.3,Low,26.016653756777693,High Poverty,671,6.496901626646011,Low Degree Attainment,76.79124709527498,High,23.20875290472502,68.90975987606507,0.4163439194422928,0,0,5.499612703330752,1.9655305964368708,10.437645236250969,Low,1,11
"Butler County, Alabama",41.6,18981,9777,8462,69,243,0,57,373,8928,10053,10929,6006,1300,2088,286,5521,843,741,1797,987,1029,542,139,21,44429,3937,3020,6,6.1,17.1,11,14.7,15,11.7,9.3,5.9,3.3,Low,20.741794426004954,High Poverty,1731,9.119645961751225,Low Degree Attainment,48.49059585901691,High,51.50940414098309,44.58142352879195,1.2802275960170697,0,0.3635214161529951,0.3003003003003003,1.9651230177545966,15.91064748959486,Medium,1,13
"Calhoun County, Alabama",39.2,116162,83306,25631,258,765,207,2223,3772,56185,59977,67180,36105,6834,13814,1693,21599,5679,5309,13042,6401,9098,4121,888,1011,54339,20267,23123,8,6,9.8,11,12,18,13.1,14.3,4.2,3.4,Medium,17.447185826690312,Low Poverty,15118,13.014583082247205,Low Degree Attainment,28.106437561336755,High,71.71536302749608,22.064874916065495,0.6585630412699506,0.1781994111671631,0.22210361391849315,1.9137067199256212,3.247189270157194,19.905821180764793,Medium,1,15
"Chambers County, Alabama",42.2,34612,19642,14114,21,60,3,240,532,16485,18127,19879,11551,2402,3627,489,7991,1772,1390,3623,2697,2273,737,81,55,48805,6080,7113,5.1,7.8,12.5,11.6,14,17.8,12.3,11.4,4,3.5,Low,17.56616202473131,Low Poverty,3146,9.089333179244193,Low Degree Attainment,43.24222812897261,High,56.74910435687045,40.777764937016066,0.17335028313879577,0.008667514,0.060672599,0.6934011325551831,1.5370391771639893,20.55067606610424,Medium,1,17
"Cherokee County, Alabama",46.8,25069,22884,1008,120,27,0,206,824,12261,12808,13391,7677,2379,2639,272,5386,1292,1004,2575,2215,1530,832,240,101,46621,3516,5026,4.5,6,13.9,11.9,16.6,16.8,11.5,11.7,4,3,Low,14.02529019905062,Low Poverty,2703,10.782241014799155,Low Degree Attainment,8.715943994574973,Low,91.28405600542503,4.020902309625434,0.10770274043639555,0,0.47867884638398017,0.8217320196258328,3.286928078503331,20.048665682715704,Medium,1,19
"Chilton County, Alabama",39.9,45140,36693,4257,647,229,136,1512,1666,22048,23092,23815,13752,2689,4267,674,10769,1968,2219,3619,2297,2504,1551,115,107,62471,6422,8682,5.4,4.6,9.1,11.6,11.2,17.8,17.4,14.7,4.9,3.3,Medium,14.226849800620291,Low Poverty,4277,9.474966770048738,Low Degree Attainment,18.411608329641115,Medium,81.28710677891006,9.430660168365087,0.5073105892778024,0.30128489144882586,1.4333185644661053,3.3495790872840057,3.690739920248117,19.23349579087284,Medium,1,21
"Choctaw County, Alabama",46.7,12669,7180,5062,28,15,0,85,299,5980,6689,7124,3911,1372,1096,206,2989,471,764,1178,875,873,283,15,10,43299,2388,2955,9.6,8.5,12.9,12.2,10.2,15.6,10.5,13.6,4.3,2.6,Low,18.84915936538006,Low Poverty,1181,9.321967006077827,Low Degree Attainment,43.326229378798644,High,56.673770621201356,39.95579761622859,0.11839924224484963,0,0.22101191885705262,0.6709290393874813,2.3600915620806693,23.324650722235376,Medium,1,23
"Clarke County, Alabama",42.7,23058,11862,10490,15,90,0,194,407,11032,12026,13280,7421,1795,2239,377,5860,709,934,2209,1118,1346,705,113,41,47549,5073,4454,10.7,6.8,11.1,12.2,10.4,17.1,11,11.8,5.4,3.5,Low,22.00104085349987,High Poverty,2205,9.562841530054644,Low Degree Attainment,48.55581576893052,High,51.44418423106948,45.49397172347992,0.390320062,0,0.065053344,0.8413565790614971,1.7651140601960273,19.316506201752105,Medium,1,25
"Clay County, Alabama",43.9,14209,11581,1790,5,36,0,128,669,6931,7278,7670,4822,1045,1025,83,3161,600,723,1423,1188,926,279,78,0,48074,2440,2722,8.3,7.8,8.1,10.1,17.2,18.1,8.9,12.5,6.7,2.2,Low,17.172214793440777,Low Poverty,1283,9.029488352,Low Degree Attainment,18.495319867689492,Medium,81.50468013,12.597649377155323,0.2533605461327328,0,0.035188965,0.9008374973608277,4.708283482299951,19.156872404813853,Medium,1,27
"Cleburne County, Alabama",42.2,15144,14028,411,35,15,0,263,392,7565,7579,7781,4558,1228,1530,224,3316,829,676,1395,806,1172,476,72,33,51553,1931,3211,7.4,4.8,10.3,10.4,15.3,17.1,15.1,12.5,4.4,2.6,Low,12.750924458531433,Low Poverty,1753,11.57554146856841,Low Degree Attainment,7.369255150554675,Low,92.63074484944532,2.7139461172741677,0.099049128,0,0.23111463285789752,1.736661384046487,2.588483888008452,21.20311674590597,Medium,1,29
"Coffee County, Alabama",39.2,53559,38834,8997,368,563,8,1083,3706,26626,26933,28246,16289,3173,5957,673,8599,1982,2685,5719,4781,4786,2424,362,327,62199,8592,9438,6.4,5.8,8.2,7.7,13.9,16.5,11.8,17.9,7,4.7,Medium,16.04212177225116,Low Poverty,7899,14.748221587408278,Low Degree Attainment,27.478108254448365,High,72.50695494688101,16.79829720495155,1.0511772064452287,0.014936798670624918,0.6870927388487462,2.022069120035848,6.919471984166993,17.621688231669747,Medium,1,31
