"","Age_Category","Marriage_Category","POC Population Category","Poverty Rate Classification","Disabled Population Category"
"1","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"3","Mature Adult","Low Marriages","High","High Poverty","Medium"
"4","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"5","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"6","Mature Adult","Few Marriages","High","High Poverty","Low"
"7","Mature Adult","Low Marriages","High","High Poverty","Medium"
"8","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"9","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"10","Older Adult","Low Marriages","Low","Low Poverty","Medium"
"11","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"12","Older Adult","Few Marriages","High","Low Poverty","Medium"
"13","Mature Adult","Low Marriages","High","High Poverty","Medium"
"14","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"15","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"16","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"17","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"18","Older Adult","Few Marriages","High","Low Poverty","Medium"
"19","Older Adult","Few Marriages","High","Low Poverty","Medium"
"20","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"21","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"22","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"23","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"24","Mature Adult","Median Marriages","High","High Poverty","Medium"
"25","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"26","Mature Adult","Many Marriages","High","Low Poverty","Low"
"27","Mature Adult","Median Marriages","High","High Poverty","Medium"
"28","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"29","Mature Adult","Few Marriages","Medium","High Poverty","Medium"
"30","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"31","Mature Adult","Median Marriages","Medium","High Poverty","Medium"
"32","Mature Adult","Few Marriages","High","High Poverty","High"
"33","Mature Adult","Few Marriages","High","High Poverty","Medium"
"34","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"35","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"36","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"37","Mature Adult","High Marriages","High","Low Poverty","Low"
"38","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"39","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"40","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"41","Adult","Many Marriages","High","Low Poverty","Low"
"42","Mature Adult","Many Marriages","High","Low Poverty","Low"
"43","Mature Adult","Few Marriages","High","High Poverty","Medium"
"44","Mature Adult","Low Marriages","High","High Poverty","Medium"
"45","Mature Adult","High Marriages","High","Low Poverty","Low"
"46","Mature Adult","Low Marriages","High","High Poverty","Medium"
"47","Mature Adult","Median Marriages","Low","Low Poverty","High"
"48","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"49","Mature Adult","High Marriages","High","Low Poverty","Low"
"50","Mature Adult","Low Marriages","High","High Poverty","Medium"
"51","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"52","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"53","Mature Adult","Few Marriages","High","High Poverty","Medium"
"54","Mature Adult","Low Marriages","High","High Poverty","Medium"
"55","Adult","Median Marriages","High","High Poverty","Low"
"56","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"57","Mature Adult","Median Marriages","High","High Poverty","Medium"
"58","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"59","Mature Adult","Many Marriages","High","Low Poverty","Low"
"60","Mature Adult","Few Marriages","High","High Poverty","Medium"
"61","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"62","Older Adult","Median Marriages","High","Low Poverty","Medium"
"63","Adult","Many Marriages","High","Low Poverty","Low"
"64","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"65","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"66","Mature Adult","Few Marriages","High","High Poverty","Medium"
"67","Older Adult","Low Marriages","Low","Low Poverty","Medium"
"68","Mature Adult","No Marriages","High","Low Poverty","Low"
"69","Mature Adult","Few Marriages","High","Low Poverty","Low"
"70","Adult","Many Marriages","High","Low Poverty","Low"
"71","Adult","Few Marriages","High","High Poverty","Low"
"72","Mature Adult","No Marriages","High","Low Poverty","Low"
"73","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"74","Mature Adult","No Marriages","High","Low Poverty","Medium"
"75","Mature Adult","No Marriages","High","Low Poverty","Low"
"76","Adult","No Marriages","High","Low Poverty","Low"
"77","Adult","Many Marriages","High","Low Poverty","Low"
"78","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"79","Older Adult","No Marriages","High","Low Poverty","Medium"
"80","Mature Adult","Median Marriages","High","Low Poverty","Low"
"81","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"82","Mature Adult","Few Marriages","High","Low Poverty","Low"
"83","Mature Adult","Few Marriages","High","Low Poverty","Low"
"84","Young","Few Marriages","High","High Poverty","Low"
"85","Adult","No Marriages","High","Low Poverty","Low"
"86","Mature Adult","Many Marriages","High","Low Poverty","Low"
"87","Adult","Few Marriages","High","High Poverty","Low"
"88","Mature Adult","Few Marriages","High","Low Poverty","Low"
"89","Adult","Few Marriages","High","Low Poverty","Low"
"90","Older Adult","No Marriages","High","Low Poverty","Medium"
"91","Mature Adult","No Marriages","High","Low Poverty","Medium"
"92","Mature Adult","Few Marriages","High","Low Poverty","Low"
"93","Mature Adult","No Marriages","High","Low Poverty","Low"
"94","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"95","Older Adult","No Marriages","High","Low Poverty","Medium"
"96","Mature Adult","No Marriages","High","Low Poverty","Low"
"97","Mature Adult","No Marriages","High","High Poverty","Medium"
"98","Mature Adult","Many Marriages","High","High Poverty","Low"
"99","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"100","Adult","Many Marriages","High","Low Poverty","Low"
"101","Older Adult","Median Marriages","High","Low Poverty","Medium"
"102","Adult","Median Marriages","High","Low Poverty","Low"
"103","Mature Adult","Few Marriages","High","Low Poverty","Low"
"104","Senior","Few Marriages","High","High Poverty","Medium"
"105","Mature Adult","High Marriages","High","Low Poverty","Low"
"106","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"107","Mature Adult","Many Marriages","High","High Poverty","Medium"
"108","Mature Adult","High Marriages","High","Low Poverty","Low"
"109","Mature Adult","High Marriages","High","Low Poverty","Medium"
"110","Mature Adult","Median Marriages","High","High Poverty","Low"
"111","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"112","Mature Adult","Many Marriages","High","Low Poverty","Low"
"113","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"114","Mature Adult","Few Marriages","High","High Poverty","Medium"
"115","Older Adult","Median Marriages","Low","Low Poverty","High"
"116","Mature Adult","Many Marriages","High","Low Poverty","Low"
"117","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"118","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"119","Mature Adult","No Marriages","High","Low Poverty","Medium"
"120","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"121","Mature Adult","Few Marriages","High","High Poverty","Medium"
"122","Adult","Low Marriages","High","Low Poverty","Medium"
"123","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"124","Older Adult","Low Marriages","Low","Low Poverty","Medium"
"125","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"126","Mature Adult","Low Marriages","High","High Poverty","Medium"
"127","Mature Adult","Low Marriages","Medium","High Poverty","Medium"
"128","Adult","Many Marriages","High","Low Poverty","Medium"
"129","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"130","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"131","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"132","Older Adult","Few Marriages","High","Low Poverty","High"
"133","Mature Adult","Few Marriages","High","High Poverty","Medium"
"134","Mature Adult","Few Marriages","High","High Poverty","Medium"
"135","Adult","Many Marriages","Medium","Low Poverty","Low"
"136","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"137","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"138","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"139","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
