,Median Age by Sex,Total Population,Male,Female,Never Married,Now Married,Widowed,Divorced,"12th Grade, No Diploma",High School Diploma,GED,Some College <1 Year,Some College >1 Year,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate,Median Income,Population Below Poverty Line,Total Income 10k(%),Total Income 10k-15k(%),Total Income 15k-25k(%),Total Income 25k-35k(%),Total Income 35k-50(%),Total Income 50k-75k(%),Total Income 75k-100k(%),Total Income 100k-150k(%),Total Income 150k-200k(%),Total Income >200k(%),Poverty Rate (%),Degree Percentage (%),POC Population (%),White Population (%),Black/African American Population (%),Asian Population (%),Hawaiian/Pacific Islander Population (%),American Indian/Alaskan Population (%),Some Other Race Population (%),Two or More Races Population (%),Disabled Population (%)
0,39.0,58761,28663,30098,31283,19408,3274,5829,704,10001,2516,2576,5864,3495,6726,4014,702,437,68315,6630,4.4,2.9,10.6,7.0,12.2,16.4,14.5,17.8,6.8,7.4,11.282993822433246,20.215789384115315,25.55096067119348,74.44903932880652,19.563996528309595,1.1197903371283675,0.0,0.1004067323564949,0.5462806963802522,4.220486377018771,16.03955004169432
1,43.7,233420,114077,119343,123882,76904,12778,22974,3299,38059,8332,11932,24237,16046,33474,15077,3483,2351,71039,23445,4.5,4.2,7.0,8.1,12.1,16.0,14.4,17.0,7.5,9.1,10.04412646731214,23.29920315311456,16.01876445891526,83.96795476,8.330477251306657,0.8765315739868049,0.0132807814240424,0.3632936337931625,1.8910119098620517,4.557450089966584,13.656927426955704
2,40.6,24877,12973,11904,14573,7202,1499,2907,488,5136,1371,1076,2440,1397,1167,640,188,105,39712,5280,10.2,8.2,16.3,11.0,13.2,15.4,8.3,10.9,2.8,3.8,21.224424166901155,8.441532339108413,54.528279133336014,45.45966153475097,46.90276158700808,0.5064919403465048,0.012059331913012,0.2974635205209631,4.373517707119025,2.448044378,15.95851589821924
3,40.3,22251,11897,10354,12287,6598,1482,2442,729,5261,1249,763,2278,1269,1047,507,109,76,50669,4297,7.6,9.1,10.9,10.5,11.2,17.0,14.8,12.3,3.0,3.5,19.311491618354232,7.815379084086109,24.1741944182284,75.82580558,20.68671070963103,0.310098422542807,0.0,0.094377781,0.4853714439800458,2.597636061300616,18.412655610983776
4,40.8,59077,29864,29213,30951,18142,3945,5482,1029,11248,3166,3482,4964,4493,3840,1751,270,156,57440,8277,6.7,5.2,8.5,9.7,14.2,16.4,12.9,15.3,6.4,4.9,14.010528632124178,10.185012779931276,8.495692063,91.30626131997224,1.2339827682516038,0.1692706129288894,0.1980466171268006,0.3842442913485789,3.146740694348054,3.561453696023833,16.83904057416592
5,39.2,10328,5542,4786,6117,3278,659,790,433,2515,442,361,1036,226,492,93,53,33,36136,2687,12.8,10.3,15.4,9.2,16.2,12.2,8.0,12.1,1.5,2.3,26.016653756777693,6.496901626646011,76.79124709527498,23.20875290472502,68.90975987606507,0.4163439194422928,0.0,0.0,5.499612703330752,1.9655305964368708,10.437645236250969
6,41.6,18981,8928,10053,10929,6006,1300,2088,286,5521,843,741,1797,987,1029,542,139,21,44429,3937,6.0,6.1,17.1,11.0,14.7,15.0,11.7,9.3,5.9,3.3,20.741794426004954,9.119645961751225,48.49059585901691,51.50940414098309,44.58142352879195,1.2802275960170697,0.0,0.3635214161529951,0.3003003003003003,1.9651230177545969,15.91064748959486
7,39.2,116162,56185,59977,67180,36105,6834,13814,1693,21599,5679,5309,13042,6401,9098,4121,888,1011,54339,20267,8.0,6.0,9.8,11.0,12.0,18.0,13.1,14.3,4.2,3.4,17.447185826690312,13.014583082247205,28.106437561336755,71.71536302749608,22.06487491606549,0.6585630412699506,0.1781994111671631,0.2221036139184931,1.9137067199256208,3.247189270157194,19.905821180764796
8,42.2,34612,16485,18127,19879,11551,2402,3627,489,7991,1772,1390,3623,2697,2273,737,81,55,48805,6080,5.1,7.8,12.5,11.6,14.0,17.8,12.3,11.4,4.0,3.5,17.56616202473131,9.089333179244193,43.24222812897261,56.74910435687045,40.77776493701607,0.1733502831387957,0.008667514,0.060672599,0.6934011325551831,1.5370391771639893,20.55067606610424
9,46.8,25069,12261,12808,13391,7677,2379,2639,272,5386,1292,1004,2575,2215,1530,832,240,101,46621,3516,4.5,6.0,13.9,11.9,16.6,16.8,11.5,11.7,4.0,3.0,14.02529019905062,10.782241014799157,8.715943994574973,91.28405600542504,4.020902309625434,0.1077027404363955,0.0,0.4786788463839801,0.8217320196258328,3.286928078503331,20.048665682715704
